time_s,tx_power_dbm,beacon_interval_s
0.0,13.0,0.1
0.5,23.0,0.1
1.0,19.0,0.2
1.5,13.0,0.2
2.0,10.0,0.1
2.5,19.0,0.5
3.0,13.0,0.1
3.5,16.0,0.3
4.0,19.0,0.1
4.5,13.0,0.1
5.0,13.0,0.1
5.5,23.0,0.2
6.0,19.0,0.1
6.5,23.0,0.2
7.0,10.0,0.2
7.5,13.0,0.5
8.0,10.0,0.5
8.5,23.0,0.1
9.0,19.0,0.5
9.5,13.0,0.5
10.0,23.0,0.5
10.5,23.0,0.1
11.0,13.0,0.1
11.5,19.0,0.3
12.0,10.0,0.3
12.5,16.0,0.2
13.0,16.0,0.5
13.5,10.0,0.1
14.0,19.0,0.2
14.5,23.0,0.2
15.0,19.0,0.2
15.5,16.0,0.2
16.0,23.0,0.3
16.5,13.0,0.1
17.0,16.0,0.1
17.5,13.0,0.2
18.0,16.0,0.2
18.5,19.0,0.5
19.0,16.0,0.1
19.5,13.0,0.3
20.0,19.0,0.5
20.5,16.0,0.1
21.0,10.0,0.2
21.5,13.0,0.3
22.0,13.0,0.1
22.5,10.0,0.3
23.0,10.0,0.2
23.5,13.0,0.2
24.0,13.0,0.3
24.5,23.0,0.1
25.0,23.0,0.3
25.5,23.0,0.2
26.0,16.0,0.2
26.5,19.0,0.1
27.0,19.0,0.1
27.5,16.0,0.2
28.0,16.0,0.5
28.5,23.0,0.1
29.0,16.0,0.1
29.5,23.0,0.2
30.0,13.0,0.1
30.5,13.0,0.5
31.0,23.0,0.1
31.5,16.0,0.5
32.0,16.0,0.1
32.5,23.0,0.1
33.0,10.0,0.2
33.5,19.0,0.1
34.0,13.0,0.1
34.5,13.0,0.5
35.0,23.0,0.1
35.5,16.0,0.2
36.0,10.0,0.5
36.5,16.0,0.3
37.0,19.0,0.5
37.5,23.0,0.2
38.0,10.0,0.2
38.5,19.0,0.1
39.0,19.0,0.2
39.5,13.0,0.2
40.0,13.0,0.5
40.5,16.0,0.1
41.0,10.0,0.5
41.5,10.0,0.1
42.0,13.0,0.1
42.5,16.0,0.1
43.0,19.0,0.1
43.5,13.0,0.2
44.0,13.0,0.2
44.5,10.0,0.1
45.0,16.0,0.3
45.5,10.0,0.1
46.0,13.0,0.5
46.5,13.0,0.1
47.0,10.0,0.2
47.5,19.0,0.2
48.0,10.0,0.1
48.5,10.0,0.3
49.0,13.0,0.1
49.5,16.0,0.1
50.0,23.0,0.1
50.5,19.0,0.5
51.0,13.0,0.2
51.5,23.0,0.1
