time_s,tx_power_dbm,beacon_interval_s,active_vehicle_count_core,tx_count,eligible_count,success_count,mean_eligible_per_tx,mean_success_per_tx,prr_awareness,pir_s,pir_count,cbr
0.5,23.0,0.1,78,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1.0,19.0,0.2,76,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1.5,13.0,0.2,76,0,0,0,0.0,0.0,0.0,0.0,0,0.0
2.0,10.0,0.1,76,0,0,0,0.0,0.0,0.0,0.0,0,0.0
2.5,19.0,0.5,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
3.0,13.0,0.1,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
3.5,16.0,0.3,75,0,0,0,0.0,0.0,0.0,0.0,0,0.0
4.0,19.0,0.1,78,0,0,0,0.0,0.0,0.0,0.0,0,0.0
4.5,13.0,0.1,78,0,0,0,0.0,0.0,0.0,0.0,0,0.0
5.0,13.0,0.1,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
5.5,23.0,0.2,76,0,0,0,0.0,0.0,0.0,0.0,0,0.0
6.0,19.0,0.1,78,0,0,0,0.0,0.0,0.0,0.0,0,0.0
6.5,23.0,0.2,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
7.0,10.0,0.2,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
7.5,13.0,0.5,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
8.0,10.0,0.5,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
8.5,23.0,0.1,78,0,0,0,0.0,0.0,0.0,0.0,0,0.0
9.0,19.0,0.5,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
9.5,13.0,0.5,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
10.0,23.0,0.5,77,0,0,0,0.0,0.0,0.0,0.0,0,0.0
10.5,23.0,0.1,77,126,8371,6270,66.436508,49.761905,0.749014,0.151858,2315,0.132784
11.0,13.0,0.1,78,269,18092,13252,67.256506,49.263941,0.732478,0.246324,8597,0.266521
11.5,19.0,0.3,77,326,22024,16479,67.558282,50.54908,0.748229,0.253833,15524,0.302952
12.0,10.0,0.3,76,371,24805,19108,66.859838,51.504043,0.770329,0.233881,18706,0.344753
12.5,16.0,0.2,75,349,23073,17279,66.111748,49.510029,0.748884,0.262749,17133,0.345425
13.0,16.0,0.5,76,308,20132,14445,65.363636,46.899351,0.717514,0.308188,14368,0.318973
13.5,10.0,0.1,76,311,20367,14218,65.488746,45.717042,0.69809,0.326399,13989,0.297543
14.0,19.0,0.2,74,342,22266,14943,65.105263,43.692982,0.671113,0.308423,14733,0.29591
14.5,23.0,0.2,75,368,23561,16825,64.024457,45.720109,0.714104,0.27447,16799,0.309954
15.0,19.0,0.2,74,368,23564,17446,64.032609,47.407609,0.740367,0.260614,17341,0.326753
15.5,16.0,0.2,74,369,23530,16326,63.766938,44.243902,0.693838,0.262882,16228,0.319425
16.0,23.0,0.3,73,362,22871,14755,63.179558,40.759669,0.64514,0.278926,14746,0.304568
16.5,13.0,0.1,73,350,22036,13965,62.96,39.9,0.633736,0.291487,13904,0.303538
17.0,16.0,0.1,73,359,22682,15385,63.181058,42.855153,0.678291,0.301836,15274,0.312162
17.5,13.0,0.2,73,410,25974,17452,63.35122,42.565854,0.671903,0.261261,17356,0.330059
18.0,16.0,0.2,72,450,28446,19005,63.213333,42.233333,0.668108,0.22276,18922,0.360282
18.5,19.0,0.5,74,436,27533,18641,63.149083,42.754587,0.677042,0.220869,18482,0.35466
19.0,16.0,0.1,72,393,24855,17285,63.244275,43.982188,0.695434,0.242961,17090,0.345708
19.5,13.0,0.3,73,370,23311,15675,63.002703,42.364865,0.672429,0.265276,15614,0.346659
